timestamp,ticker,price
2025-05-24 01:11:34,AMZN,200.99000549316406
2025-05-24 01:11:40,TSLA,339.3399963378906
2025-05-24 01:11:54,META,627.0599975585938
2025-05-24 01:14:59,NVDA,131.2899932861328
2025-05-24 01:18:51,AMZN,200.99000549316406
2025-05-24 01:19:11,NVDA,131.2899932861328
2025-05-24 01:19:14,ADBE,407.69000244140625
2025-05-24 01:19:18,SAP,294.8699951171875
2025-05-24 01:19:24,INTU,720.1300048828125
2025-05-24 01:19:33,AMZN,200.99000549316406
2025-05-24 01:19:41,AAPL,195.27000427246094
2025-05-24 08:46:22,GOOGL,168.47000122070312
2025-05-24 08:46:33,META,627.0599975585938
2025-05-24 08:46:40,AMD,110.30999755859375
2025-05-24 09:50:23,AAPL,"(True, 195.27000427246094)"
2025-05-24 09:56:50,TSLA,339.3399963378906
2025-05-24 09:56:57,META,627.0599975585938
2025-05-24 12:20:01,AMD,110.30999755859375
2025-05-24 12:24:12,GOOGL,168.47000122070312
2025-05-24 12:34:25,TSLA,339.3399963378906
